season,position,player,total_snaps,offense_snaps,defense_snaps
2013,C,Roberto Garza,1058,1058,0
2013,C,Taylor Boggs,0,0,0
2013,CB,C.J. Wilson,0,0,0
2013,CB,Charles Tillman,432,0,432
2013,CB,Isaiah Frey,507,0,507
2013,CB,Sherrick McManis,12,0,12
2013,CB,Tim Jennings,1032,0,1032
2013,CB,Zackary Bowman,593,0,593
2013,DB,Sean Cattouse,0,0,0
2013,DE,Cheta Ozougwu,62,0,62
2013,DE,Corey Wootton,846,0,846
2013,DE,Cornelius Washington,10,0,10
2013,DE,David Bass,311,0,311
2013,DE,Julius Peppers,803,0,803
2013,DE,Shea McClellin,651,0,651
2013,DT,Christian Tupou,70,0,70
2013,DT,Henry Melton,123,0,123
2013,DT,Jay Ratliff,207,0,207
2013,DT,Landon Cohen,343,0,343
2013,DT,Tracy Robertson,1,0,1
2013,DT,Zach Minter,27,0,27
2013,FB,Tony Fiammetta,220,220,0
2013,FS,Chris Conte,1029,0,1029
2013,FS,Craig Steltz,121,0,121
2013,G,Kyle Long,1058,1058,0
2013,G,Matt Slauson,1058,1058,0
2013,K,Robbie Gould,0,0,0
2013,LB,Blake Costanzo,24,0,24
2013,LB,D.J. Williams,213,0,213
2013,LB,James Anderson,999,0,999
2013,LB,Jerry Franklin,0,0,0
2013,LB,Jonathan Bostic,605,0,605
2013,LB,Julius Peppers,48,0,48
2013,LB,Khaseem Greene,231,0,231
2013,LB,Lance Briggs,557,0,557
2013,LB,Larry Grant,0,0,0
2013,LS,Jeremy Cain,0,0,0
2013,LS,Patrick Mannelly,0,0,0
2013,NT,Nate Collins,191,0,191
2013,NT,Stephen Paea,474,0,474
2013,P,Adam Podlesh,0,0,0
2013,QB,Jay Cutler,636,636,0
2013,QB,Josh McCown,422,422,0
2013,RB,Jerry Franklin,0,0,0
2013,RB,Matt Forte,929,929,0
2013,RB,Michael Bush,139,139,0
2013,RB,Michael Ford,0,0,0
2013,SS,Anthony Walters,0,0,0
2013,SS,Derrick Martin,5,0,5
2013,SS,Major Wright,935,0,935
2013,T,Eben Britton,235,235,0
2013,T,Jermon Bushrod,1058,1058,0
2013,T,Jordan Mills,1011,1011,0
2013,TE,Dante Rosario,182,182,0
2013,TE,Kyle Adams,11,11,0
2013,TE,Martellus Bennett,953,953,0
2013,TE,Steve Maneri,63,63,0
2013,WR,Alshon Jeffery,963,963,0
2013,WR,Brandon Marshall,988,988,0
2013,WR,Devin Hester,0,0,0
2013,WR,Earl Bennett,542,542,0
2013,WR,Eric Weems,24,24,0
2013,WR,Joe Anderson,13,13,0
2013,WR,Marquess Wilson,75,75,0
2014,C,Brian De La Puente,488,488,0
2014,C,Roberto Garza,746,746,0
2014,C,Taylor Boggs,0,0,0
2014,CB,Al Louis-Jean,119,0,119
2014,CB,Charles Tillman,96,0,96
2014,CB,Demontre Hurst,365,0,365
2014,CB,Isaiah Frey,94,0,94
2014,CB,Kyle Fuller,858,0,858
2014,CB,Sherrick McManis,46,0,46
2014,CB,Teddy Williams,0,0,0
2014,CB,Tim Jennings,1006,0,1006
2014,DE,Cornelius Washington,77,0,77
2014,DE,David Bass,143,0,143
2014,DE,Jared Allen,888,0,888
2014,DE,Lamarr Houston,397,0,397
2014,DE,Trevor Scott,23,0,23
2014,DE,Willie Young,664,0,664
2014,DT,Brandon Dunn,60,0,60
2014,DT,Jay Ratliff,461,0,461
2014,DT,Will Sutton,458,0,458
2014,FB,Montell Owens,0,0,0
2014,FB,Tony Fiammetta,6,6,0
2014,FS,Brock Vereen,502,0,502
2014,FS,Danny McCray,168,0,168
2014,G,Kyle Long,994,994,0
2014,G,Matt Slauson,264,264,0
2014,G,Michael Ola,822,822,0
2014,G,Ryan Groy,226,226,0
2014,K,Jay Feely,0,0,0
2014,K,Robbie Gould,0,0,0
2014,LB,Christian Jones,434,0,434
2014,LB,D.J. Williams,413,0,413
2014,LB,Darryl Sharpton,104,0,104
2014,LB,DeDe Lattimore,0,0,0
2014,LB,Jonathan Bostic,679,0,679
2014,LB,Khaseem Greene,117,0,117
2014,LB,Lance Briggs,453,0,453
2014,LB,Shea McClellin,425,0,425
2014,LB,Terrell Manning,0,0,0
2014,LS,Jeremy Cain,0,0,0
2014,NT,Ego Ferguson,312,0,312
2014,NT,Stephen Paea,700,0,700
2014,P,Pat O'Donnell,0,0,0
2014,QB,Jay Cutler,969,969,0
2014,QB,Jimmy Clausen,89,89,0
2014,RB,Ka'Deem Carey,99,99,0
2014,RB,Matt Forte,974,974,0
2014,RB,Senorise Perry,1,1,0
2014,RB,Shaun Draughn,0,0,0
2014,S,Ahmad Dixon,1,0,1
2014,S,Anthony Walters,0,0,0
2014,SS,Chris Conte,463,0,463
2014,SS,Ryan Mundy,947,0,947
2014,T,Charles Leno Jr.,29,29,0
2014,T,Eben Britton,94,94,0
2014,T,Jermon Bushrod,921,921,0
2014,T,Jordan Mills,813,813,0
2014,TE,Blake Annen,1,1,0
2014,TE,Dante Rosario,314,314,0
2014,TE,Martellus Bennett,954,954,0
2014,TE,Matthew Mulligan,25,25,0
2014,WR,Alshon Jeffery,957,957,0
2014,WR,Brandon Marshall,753,753,0
2014,WR,Chris Williams,15,15,0
2014,WR,Josh Bellamy,11,11,0
2014,WR,Josh Morgan,422,422,0
2014,WR,Marc Mariani,3,3,0
2014,WR,Marquess Wilson,373,373,0
2014,WR,Micheal Spurlock,15,15,0
2014,WR,Rashad Ross,10,10,0
2014,WR,Santonio Holmes,249,249,0
2015,C,Hroniss Grasu,551,551,0
2015,C,Matt Slauson,889,889,0
2015,C,Will Montgomery,195,195,0
2015,CB,Alan Ball,248,0,248
2015,CB,Bryce Callahan,322,0,322
2015,CB,Jacoby Glenn,0,0,0
2015,CB,Kyle Fuller,1022,0,1022
2015,CB,Sherrick McManis,297,0,297
2015,CB,Terrance Mitchell,17,0,17
2015,CB,Tracy Porter,844,0,844
2015,DB,Adrian Amos,59,0,59
2015,DE,Cornelius Washington,1,0,1
2015,DE,Ego Ferguson,105,0,105
2015,DE,Greg Scruggs,17,0,17
2015,DE,Jarvis Jenkins,636,0,636
2015,DE,Lavar Edwards,2,0,2
2015,DE,Will Sutton,418,0,418
2015,DT,Brandon Dunn,20,0,20
2015,DT,Bruce Gaston,163,0,163
2015,DT,D'Anthony Smith,49,0,49
2015,DT,Evander Hood,37,0,37
2015,DT,Mitch Unrein,387,7,380
2015,FS,Brock Vereen,0,0,0
2015,FS,Chris Prosinski,337,0,337
2015,FS,Sherrod Martin,23,0,23
2015,G,Kyle Long,192,192,0
2015,G,Matt Slauson,192,192,0
2015,G,Patrick Omameh,666,666,0
2015,G,Vlad Ducasse,750,750,0
2015,K,Robbie Gould,0,0,0
2015,LB,Christian Jones,743,0,743
2015,LB,Jared Allen,104,0,104
2015,LB,John Timu,159,0,159
