date,year,team,side,position,jersey,player
2025-09-08,2025,Chicago Bears,Offense,WR,14,O.Zaccheaus
2025-09-08,2025,Chicago Bears,Offense,WR,2,D.Moore
2025-09-08,2025,Chicago Bears,Offense,LT,70,B.Jones
2025-09-08,2025,Chicago Bears,Offense,LG,62,J.Thuney
2025-09-08,2025,Chicago Bears,Offense,C,52,D.Dalman
2025-09-08,2025,Chicago Bears,Offense,RG,73,J.Jackson
2025-09-08,2025,Chicago Bears,Offense,RT,58,D.Wright
2025-09-08,2025,Chicago Bears,Offense,TE,85,C.Kmet
2025-09-08,2025,Chicago Bears,Offense,WR,15,R.Odunze
2025-09-08,2025,Chicago Bears,Offense,QB,18,C.Williams
2025-09-08,2025,Chicago Bears,Offense,RB,4,D.Swift
2025-09-08,2025,Chicago Bears,Defense,DL,55,D.Odeyingbo
2025-09-08,2025,Chicago Bears,Defense,DL,50,G.Jarrett
2025-09-08,2025,Chicago Bears,Defense,DL,99,G.Dexter
2025-09-08,2025,Chicago Bears,Defense,DL,98,M.Sweat
2025-09-08,2025,Chicago Bears,Defense,LB,49,T.Edmunds
2025-09-08,2025,Chicago Bears,Defense,LB,44,N.Sewell
2025-09-08,2025,Chicago Bears,Defense,DB,26,N.Wright
2025-09-08,2025,Chicago Bears,Defense,DB,29,T.Stevenson
2025-09-08,2025,Chicago Bears,Defense,DB,24,N.McCloud
2025-09-08,2025,Chicago Bears,Defense,DB,9,J.Brisker
2025-09-08,2025,Chicago Bears,Defense,DB,31,K.Byard

2024-09-08,2024,Chicago Bears,Offense,WR,13,K.Allen
2024-09-08,2024,Chicago Bears,Offense,WR,2,D.Moore
2024-09-08,2024,Chicago Bears,Offense,T,58,D.Wright
2024-09-08,2024,Chicago Bears,Offense,LT,70,B.Jones
2024-09-08,2024,Chicago Bears,Offense,LG,76,T.Jenkins
2024-09-08,2024,Chicago Bears,Offense,C,65,C.Shelton
2024-09-08,2024,Chicago Bears,Offense,RG,64,N.Davis
2024-09-08,2024,Chicago Bears,Offense,TE,85,C.Kmet
2024-09-08,2024,Chicago Bears,Offense,TE,14,G.Everett
2024-09-08,2024,Chicago Bears,Offense,QB,18,C.Williams
2024-09-08,2024,Chicago Bears,Offense,RB,4,D.Swift
2024-09-08,2024,Chicago Bears,Defense,DL,98,M.Sweat
2024-09-08,2024,Chicago Bears,Defense,DL,97,A.Billings
2024-09-08,2024,Chicago Bears,Defense,DL,99,G.Dexter
2024-09-08,2024,Chicago Bears,Defense,DE,95,D.Walker
2024-09-08,2024,Chicago Bears,Defense,LB,53,T.Edwards
2024-09-08,2024,Chicago Bears,Defense,LB,49,T.Edmunds
2024-09-08,2024,Chicago Bears,Defense,DB,6,K.Gordon
2024-09-08,2024,Chicago Bears,Defense,DB,32,T.Smith
2024-09-08,2024,Chicago Bears,Defense,CB,1,J.Johnson
2024-09-08,2024,Chicago Bears,Defense,S,31,K.Byard
2024-09-08,2024,Chicago Bears,Defense,S,9,J.Brisker

2023-09-10,2023,Chicago Bears,Offense,WR,2,D.Moore
2023-09-10,2023,Chicago Bears,Offense,WR,11,D.Mooney
2023-09-10,2023,Chicago Bears,Offense,LT,70,B.Jones
2023-09-10,2023,Chicago Bears,Offense,LG,65,C.Whitehair
2023-09-10,2023,Chicago Bears,Offense,C,62,L.Patrick
2023-09-10,2023,Chicago Bears,Offense,RG,64,N.Davis
2023-09-10,2023,Chicago Bears,Offense,RT,58,D.Wright
2023-09-10,2023,Chicago Bears,Offense,TE,85,C.Kmet
